name,type,majax,minax,posang,surfbr,hubble,messier,common
NGC2267,G,1.71,1.44,110,23.16,S0,,
NGC2268,G,2.14,0.93,73,22.02,Sbc,,
NGC2269,OCl,4.80,,,,,,
NGC2270,OCl,5.40,,,,,,
NGC2271,G,1.77,1.29,78,23.18,E-S0,,
NGC2272,G,2.19,1.54,118,23.31,E-S0,,
NGC2273,G,2.29,1.39,63,22.93,Sa,,
NGC2273,G,2.00,1.19,119,23.25,SABc,,
NGC2273,G,1.48,0.61,47,22.24,Sc,,
NGC2274,G,1.78,1.77,170,23.65,E,,
NGC2275,G,2.51,0.78,3,24.07,Sa,,
NGC2276,G,2.23,1.73,19,22.26,SABc,,
NGC2280,G,6.53,2.84,164,23.17,Sc,,
NGC2281,OCl,10.80,,,,,,
NGC2282,HII,3.00,3.00,,,,,
NGC2283,G,2.76,2.01,178,23.62,Sc,,
NGC2286,OCl,5.40,,,,,,
NGC2287,OCl,12.00,,,,,041,
NGC2288,G,0.17,0.17,105,20.22,,,
NGC2289,G,1.21,0.81,110,23.39,S0,,
